time_ms,value
2263,180
2363,180
2463,180
2563,180
2663,180
2763,180
2863,180
2963,180
3063,180
3163,181
3263,180
3363,180
3463,180
3563,180
3663,180
3763,180
3863,180
3963,180
4063,180
4163,180
4263,180
4363,180
4463,180
4563,180
4663,180
4763,180
4863,181
4963,180
5063,180
5163,180
5263,180
5363,180
5463,180
5563,180
5663,180
5763,181
5863,181
5963,180
6063,180
6163,180
6263,180
6363,181
6463,180
6563,180
6663,180
6763,181
6863,180
6963,180
7063,180
7163,180
7263,180
7363,180
7463,180
7563,180
7663,180
7763,180
7863,180
7963,179
8063,180
8163,181
8263,180
8363,181
8463,180
8563,180
8663,180
8763,181
8863,180
8963,181
9063,181
9163,181
9263,180
9363,180
9463,180
9563,180
9663,180
9763,180
9863,180
9963,180
10063,181
10163,180
10263,181
10363,180
10463,180
10563,181
10663,181
10763,181
10863,180
10963,180
11063,180
11163,181
11263,180
11363,181
11463,180
11563,180
11663,181
11763,179
11863,180
11963,181
12063,181
12163,180
12263,180
12363,181
12463,180
12563,180
12663,180
12763,180
12863,181
12963,180
13063,181
13163,180
13263,180
13363,180
13463,181
13563,180
13663,180
13763,180
13863,181
13963,181
14063,180
14163,180
14263,180
14363,180
14463,180
14563,181
14663,180
14763,181
14863,180
14963,180
15063,181
15163,181
15263,180
15363,180
15463,180
15563,180
15663,180
15763,181
15863,180
15963,180
16063,180
16163,180
16263,181
16363,180
16463,181
16563,181
16663,180
16763,180
16863,181
16963,181
17063,180
17163,180
17263,180
17363,181
17463,180
17563,180
17663,180
17763,181
17863,180
17963,181
18063,179
18163,180
18263,180
18363,180
18463,181
18563,180
18663,180
18763,180
18863,180
18963,181
19063,180
19163,181
19263,180
19363,180
19463,180
19563,181
19663,181
19763,180
19863,180
19963,180
20063,180
20163,180
20263,180
20363,180
20463,180
20563,180
20663,181
20763,180
20863,180
20963,180
21063,180
21163,180
21263,180
21363,180
21463,181
21563,180
21663,180
21763,180
21863,180
21963,181
22063,180
22163,180
22263,180
22363,180
22463,181
22563,180
22663,180
22763,180
22863,180
22963,180
23063,180
23163,181
23263,180
23363,180
23463,180
23563,181
23663,180
23763,180
23863,180
23963,180
24063,181
24163,180
24263,180
24363,180
24463,180
24563,180
24663,181
24763,180
