time_ms,value
2262,180
2362,180
2462,181
2562,180
2662,180
2762,181
2862,181
2962,181
3062,181
3162,180
3262,180
3362,180
3462,180
3562,181
3662,180
3762,180
3862,180
3962,180
4062,181
4162,180
4262,180
4362,180
4462,181
4562,181
4662,180
4762,180
4862,180
4962,181
5062,181
5162,181
5262,181
5362,180
5462,181
5562,180
5662,180
5762,180
5862,181
5962,180
6062,181
6162,181
6262,181
6362,181
6462,180
6562,180
6662,181
6762,181
6862,181
6962,181
7062,180
7162,181
7262,181
7362,180
7462,181
7562,181
7662,181
7762,181
7862,180
7962,181
8062,180
8162,180
8262,180
8362,180
8462,180
8562,180
8662,180
8762,181
8862,180
8962,180
9062,181
9162,180
9262,180
9362,181
9462,180
9562,180
9662,181
9762,181
9862,181
9962,180
10062,180
10162,180
10262,180
10362,180
10462,181
10562,180
10662,181
10762,181
10862,181
10962,181
11062,180
11162,180
11262,180
11362,180
11462,180
11562,180
11662,181
11762,181
11862,181
11962,180
12062,181
12162,180
12262,181
12362,180
12462,180
12562,180
12662,180
12762,181
12862,180
12962,180
13062,180
13162,180
13262,180
13362,181
13462,180
13562,180
13662,181
13762,180
13862,180
13962,180
14062,181
14162,181
14262,180
14362,181
14462,182
14562,181
14662,180
14762,180
14862,180
14962,180
15062,181
15162,180
15262,179
15362,181
15462,181
15562,180
15662,180
15762,180
15862,180
15962,180
16062,180
16162,180
16262,180
16362,181
16462,181
16562,180
16662,180
16762,180
16862,180
16962,180
17062,180
17162,180
17262,181
17362,180
17462,180
17562,180
17662,181
17762,181
17862,181
17962,180
18062,180
18162,181
18262,180
18362,180
18462,180
18562,180
18662,181
18762,181
18862,180
18962,181
19062,181
19162,180
19262,180
19362,181
19462,181
19562,180
19662,180
19762,180
19862,181
19962,180
20062,180
20162,180
20262,181
20362,180
20462,181
20562,181
20662,180
20762,180
20862,180
20962,181
21062,181
21162,180
21262,181
21362,180
21462,180
21562,179
21662,181
21762,181
21862,180
21962,180
22062,181
22162,180
22262,180
22362,181
22462,181
22562,180
22662,179
22762,180
22862,181
22962,181
23062,180
23162,181
23262,180
23362,181
23462,180
23562,181
23662,181
23762,180
23862,180
23962,180
24062,180
24162,181
24262,181
24362,180
24462,180
24562,180
24662,181
24762,181
24862,180
24962,180
25062,181
25162,180
25262,180
25362,181
25462,180
25562,180
25662,181
25762,180
25862,181
25962,180
26062,181
26162,181
26262,180
26362,180
26462,180
26562,180
26662,180
26762,180
26862,180
26962,181
27062,181
27162,180
27262,181
27362,180
27462,180
27562,180
27662,180
27762,180
27862,181
27962,180
28062,180
28162,180
28262,180
28362,181
28462,180
28562,180
28662,180
28762,180
28862,181
28962,180
29062,180
29162,180
29262,180
29362,181
29462,180
29562,180
29662,180
29762,181
29862,181
29962,180
30062,181
30162,180
30262,180
30362,180
30462,179
30562,181
30662,180
30762,181
30862,181
30962,180
31062,181
31162,181
31262,181
31362,180
31462,181
31562,181
31662,181
31762,180
31862,180
31962,180
32062,180
32162,180
32262,180
32362,180
32462,181
32562,180
32662,180
32762,181
32862,181
32962,181
33062,180
33162,180
33262,180
33362,180
33462,180
33562,180
33662,180
33762,180
33862,181
33962,180
34062,180
34162,180
34262,181
34362,180
34462,180
34562,180
34662,181
34762,181
34862,180
34962,181
35062,180
35162,180
35262,180
35362,180
35462,180
35562,180
35662,181
35762,181
35862,180
35962,180
36062,181
36162,181
36262,180
36362,180
36462,180
36562,181
36662,181
36762,181
36862,181
36962,181
37062,180
37162,181
37262,181
37362,180
